filename,prompt,reasoning_trace,predicted_value
P-weight-image1.jpg,W01,"The red-marked object is a small portable yellow flashlight. Based on its size relative to the roll of packing tape and common weights for similar handheld plastic flashlights (typically ranging from 100 to 250 grams including batteries), an estimate of 150 grams is reasonable.",150.0
V-angle-image70.jpg,A03,"The marked angle is between the blue/black painted support plank and the floor. Based on the visual orientation, the plank rises at a moderate incline. Estimating from the image proportions, the angle appears to be approximately 38 degrees.",38.0
P-stability-image10_blur_low.jpg,S03,"The marked angle represents the incline of the ramp. For a typical object to start sliding, the angle must usually exceed the angle of repose, which depends on the coefficient of static friction. Common values for many objects on generic surfaces range between 20 and 45 degrees. A reasonable estimate for an object likely to be used in such a test is around 30 to 35 degrees.",35.0
P-liquid_volume-image75_blur_med.jpg,L02,"The container is a standard glass food storage bowl with a locking lid. Based on its size relative to the common household objects nearby, like standard potatoes and generic kitchenware, it typically has a capacity between 350mL and 500mL. I will estimate it at 400mL.",400.0
P-fit-image24.jpg,F01,"The red-marked area contains three small, round food storage containers. The blue-marked container is an insulated tall lunch bag likely designed for exactly these kinds of containers. Based on visual comparison, the height of the lunch bag is sufficient to hold all three containers if they are stacked on top of each other, and the width is sufficient to accommodate their diameter.",True
P-angle-image17_blur_low.jpg,A01,"The marked incline angle is indicated between the horizontal plane (near the bucket lid) and the wooden plank. Looking at the slope of the wooden plank relative to the horizontal ground/reference line, it appears to be approximately 40-45 degrees. Based on the visual alignment, 42 degrees is a reasonable estimate.",42.0
B-angle-image4.jpg,A01,"The marked incline angle is formed between the sloping metal pole and the approximately horizontal ground reference line. Based on visual estimation, the angle appears to be slightly less than 45 degrees.",42.0
P-fit-image19.jpg,F04,"The tape roll is relatively small compared to the remaining open area in the plastic container, specifically the clear floor space next to the red container.",True
P-stability-image7_blur_high.jpg,Estimate volume of water to make the structure fall.,"Based on the image, there is a large rectangular mass acting as a counterweight on the shelf side, while a narrow extension holds the beaker. The counterweight appears significantly more massive than the expected mass of the empty beaker and its support. Assuming standard materials and a beaker capacity of around 250-500mL, a substantial amount of water would be needed to overcome the torque provided by the counterweight. I will estimate an amount near the capacity of a standard medium-sized beaker.",250.0
P-fit-image26-pov2.jpg,F06,"The red-marked object is a large area rug, while the blue-marked container is a small cardboard box, likely for shoes. Even when folded or rolled, the sheer volume of material in a typical large area rug would far exceed the internal capacity of such a small box.",False
P-fit-image27-pov2_blur_low.jpg,F06,"The container outlined in blue is a rectangular box, which appears to have a larger surface area than the space occupied by the pair of shoes marked in red. Standard shoe boxes are designed specifically to accommodate a pair of shoes of their corresponding size.",True
P-liquid_volume-image71-pov2_blur_high.jpg,L02,"The container appears to be a standard-sized lotion pump bottle, similar in height to typical 400-500 mL bottles seen in households. Its rectangular profile suggests a substantial capacity.",400.0
M-stability-image3_blur_med.jpg,S02,"The wooden object is currently overhanging significantly to the left. Moving it further to the left (by roughly 2-5 cm) would likely cause its center of mass to shift beyond the supporting structure, leading it to tip and fall.",3.0
B-stability-image8.jpg,Estimate the minimum weight (marked in blue) that can be taken off to make the object in the red bounding box fall. (weights: 20g 20g 50g 100g),"The cardboard is precariously balanced with a significant portion hanging over the edge. Removing the smallest single weight (20g) would shift the center of mass away from the table's support, likely causing it to fall, as it appears almost at the brink of tipping already.",20.0
M-stability-image3_blur_low.jpg,S02,"The wooden plank is supported by a thin frame. Given its current overhanging position, moving it significantly to the left would likely cause its center of gravity to shift past the support point, resulting in it falling. A move of around 5 cm or even less in the most unstable direction is a reasonable estimate for minimum displacement before it tips.",5.0
V-fit-image9.jpg,F06,"The red-marked object is a large soft pillow or cushion, which is highly compressible and foldable. Although its flat dimensions are larger than the blue-marked basket, it can be easily squashed or rolled to fit inside given its flexible material.",True
M-fit-image15.jpg,F07,"The red-marked object is a standard water bottle, and the blue-marked opening is a side pocket of a backpack specifically designed for such objects. While the bottle is rigid, the fabric pocket can deform and stretch to accommodate typical sizes.",True
V-fit-image27_blur_low.jpg,F02,"The red-marked object is a glasses case, and the blue-marked container is a shallow pineapple-shaped dish. Based on visual comparison, the main area of the dish is significantly wider than the longest dimension of the glasses case, allowing it to fit easily when considered for horizontal clearance.",True
P-fit-image30-pov2.jpg,F06,"The red-marked object is a large clump of cotton wool, which is highly compressible. Although it appears larger than the blue-marked container in its current uncompressed state, its volume can be significantly reduced by squashing it, allowing it to fit into the small container.",True
M-fit-image4.jpg,F06,"The red-marked object is a flexible plastic bag, which is highly deformable and compressible. It can be folded or scrunched down into a significantly smaller volume, allowing it to fit into the blue-marked container.",True
P-liquid_volume-image67.jpg,L02,"The container appears to be a standard-sized bottle, likely for shampoo or body wash, based on its flat-rectangular shape and the label. Comparing its size to the adjacent items like the coffee jar, which typically holds around 500-750ml of volume, this bottle appears smaller. A common capacity for such items is approximately 300-400mL.",300.0
P-fit-image26.jpg,F06,"The red-marked object is a large rug, which covers a significant area of the floor. While rugs can be folded or rolled, the volume of this particular rug, even when compacted, is much larger than the capacity of the small blue-marked container (which appears to be a shoebox). Therefore, it is highly unlikely to fit even with deformation.",False
P-fit-image13.jpg,F02,"The diameter of the mug's opening is wider than the diameter of the bottle's base, allowing the bottle to be inserted into the mug if height is not considered.",True
P-liquid_volume-image74-pov2_blur_high.jpg,L02,"The container shown is a standard-sized backpack. Typical backpacks for general use have capacities ranging from 20 to 30 liters. Given its appearance, a volume of approximately 25,000 mL (25 liters) is a reasonable estimate.",25000.0
B-fit-image1.jpg,F01,"The red-marked wooden board appears to have similar outer dimensions to the blue-marked container's inner opening, but upon closer inspection, its width and height seem slightly larger than the clear interior space, potentially making it too large to fit inside comfortably without tilting, and even then, its primary dimensions exceed the inner constraints.",False
P-liquid_volume-image34_blur_med.jpg,L02,"The container appears to be a typical reusable sports water bottle. Given its size relative to the poker briefcase (which is standard size), its capacity is likely around 750 mL.",750.0
M-weight-image1_blur_low.jpg,W04,"The image shows a weight rack with several black weight plates. Inside the red-marked box, there are four large, thick circular weight plates stacked together. Standard thick bumper plates of this size typically weigh around 20 kg (20,000 grams) each. Therefore, four plates would have a total weight of approximately 80,000 grams.",80000.0
P-weight-image58.jpg,W03,"The red-marked object is a standard round metal cookie or candy tin. Based on its size relative to the water bottles, an average empty weight for such a tin typically ranges from 150 to 250 grams.",180.0
M-angle-image12.jpg,A01,"The marked incline angle is formed by the red line relative to an implicit horizontal reference line. By visual estimation, the angle of the red line is slightly tilted upwards from left to right, appearing to be approximately 10 degrees relative to the horizontal.",10.0
P-angle-image35.jpg,A01,"The marked incline angle is formed between the wooden plank and the horizontal ground. Looking at the slope, the height of the supporting wooden block is roughly one-fourth to one-fifth of the distance from the contact point on the ground to the block. An arctan(1/4) would be approximately 14 degrees, and an arctan(1/3.5) would be around 16 degrees. Visually, the angle looks shallow, comfortably in the range of 14-17 degrees.",15.0
M-fit-image10.jpg,F07,"The red-marked object appears to be a flat, thin piece of material (likely paper or flexible plastic). The blue-marked opening is a yellow cone or funnel with a circular aperture. Even if the flat object is wider than the opening, it can easily be folded or rolled tightly enough to pass through the diameter of the blue-marked opening.",True
V-weight-image49.jpg,W01,"The red-marked object is a long-handled cleaning tool, likely a mop or a floor scraper. Such tools typically consist of a hollow metal or aluminum pole with plastic fittings. Based on standard weights for household cleaning implements of this size, it typically ranges from 400 to 800 grams. A value of 600 grams is a reasonable estimate for a pole of this length and material.",600.0
P-weight-image54_blur_high.jpg,W01,"The red-marked object is a standard mini hot glue gun. Based on its compact size and typical materials (predominantly plastic housing with internal heating elements), it generally weighs between 150 and 250 grams. A middle estimate of 200 grams is reasonable.",200.0
M-angle-image2.jpg,A03,"The marked angle is between the seat and the backrest of the weight bench. The backrest is reclined significantly, making the internal angle clearly obtuse. Estimating visually, the angle is roughly 135 to 145 degrees.",140.0
P-angle-image20_blur_low.jpg,A01,"The marked incline represents the angle between the side of the tilted orange box and the ground. Observing the orientation of the box, it is slanted at a fairly steep angle, estimated to be around 65 degrees relative to the horizontal ground.",65.0
P-fit-image31.jpg,Can the salt fit inside the bowl?,"The amount of salt on the plate, while spread out, appears to have a total volume smaller than the empty space inside the glass bowl. The bowl has significant depth, which should accommodate the salt once it is poured in and levels out.",True
V-weight-image52.jpg,W04,"The image shows two yellow plastic dumbbells. Looking closely at the end of one, it appears to say '4 KG'. Therefore, the two dumbbells together would likely weigh approximately 8000 grams.",8000.0
B-angle-image18.jpg,A02,"The table shown is octagonal. In a regular octagon, each interior angle measures 135 degrees. Visually, the angle marked at the table's corner appears to be consistent with common octagonal furniture designs, even if there is a square-like symbol placed there which normally denotes a right angle. However, standard octagonal corners are 135 degrees.",135.0
P-fit-image14.jpg,F01,"The bundle of pens (red-marked object) is significantly smaller than the fabric storage bin (blue-marked container) in all primary dimensions, allowing it to easily fit inside regardless of orientation.",True
P-weight-image78.jpg,Estimate the weight of the salt in the red marked area.,"The pile of salt on the plate appears to be roughly 3 to 4 tablespoons in volume. Given that a standard tablespoon of salt weighs approximately 15-20 grams, the total estimate falls within the 45-70 grams range. Visually, its size relative to the 1kg packet in the background also suggests a weight of around 50 grams.",50.0
P-stability-image9.jpg,S03,"For a thin board leaning against a wall to slide down (outward from the bottom), the static friction between the floor and the board must be overcome. For typical materials like wood on tile, the coefficient of static friction is often in the range of 0.3 to 0.5. Using the standard formula for a leaning ladder where the angle theta with the horizontal is given by tan(theta) = 1/(2*mu), common critical angles are between 35 and 50 degrees. Assuming typical friction, around 35-40 degrees is a standard estimate where it would start to lose stability without the block.",35.0
P-fit-image12.jpg,F01,"The power bank's longest dimension appears to be greater than the maximum inner diameter of the glass bowl, which would prevent it from lying completely flat inside. While it could potentially lean against the rim, typically 'fit inside' implies being fully containable or sitting properly without significant overhang beyond the vessel's height or stability limits, but most importantly, based on top-down size comparison, its length exceeds the interior width of the bowl.",False
V-angle-image66.jpg,A03,"The marked joint is at the corner of a rectangular frame, where the horizontal and vertical parts meet. Standard frames typically have right-angled joints.",90.0
M-stability-image21.jpg,S02,"The yellow laundry basket is already hanging significantly over the right edge of the small wooden table. Its center of mass is likely very close to the table's edge. Moving it only a small distance further to the right (approximately 3 to 5 cm) would cause its center of mass to pass the support point, leading it to tip over and fall.",4.0
V-weight-image37_blur_high.jpg,W03,"The red-marked object is an air fryer, likely a standard size model. Typical air fryers of this type weigh between 3.5 kg and 5.5 kg depending on the capacity and model details. A weight of around 4500 grams is a reasonable middle-range estimate for such an appliance when empty.",4500.0
P-angle-image23.jpg,A01,"To estimate the angle, I identify the vertex of the angle at approximately (688, 792). A second point on the inclined bat is identified near (570, 475). Calculating the rise over run (dy/dx): dy = 792 - 475 = 317; dx = 688 - 570 = 118. The slope is approximately 317 / 118 = 2.68. Taking the arctangent (arctan(2.68)) gives an angle of approximately 69.5 degrees. Visual confirmation suggests an angle roughly near 70 degrees.",69.0
P-fit-image23.jpg,F02,"The diameter of the metal cup (red-marked object) appears to be slightly smaller than the diameter of the paper coffee cup (blue-marked container), allowing it to fit inside easily considering width/diameter.",True
P-weight-image41.jpg,W01,"The red-marked object is a soccer ball. Standard size 5 soccer balls weigh between 410 and 450 grams. Based on common types, I will estimate its weight around 430 grams.",430.0
P-angle-image31.jpg,A01,"The marked incline angle is measured between the horizontal reference line and the upward-sloping bar of the exercise equipment. Upon visual inspection, the angle appears significantly less than 45 degrees, approximately between 30 and 35 degrees.",33.0
M-stability-image21_blur_low.jpg,S02,The laundry basket is already significantly overhanging the right edge of the table. Its center of mass appears to be close to the edge. Moving it only a few more centimeters further right will likely cause it to tip over.,4.0
P-weight-image37.jpg,W01,The red-marked object is a soccer ball. A standard regulation size 5 soccer ball typically weighs between 410 and 450 grams. I will estimate it at the center of this range.,430.0
M-fit-image23.jpg,F06,"The mat is a flexible object made of materials that allow for rolling or folding. Based on a visual size comparison, the total volume of the mat once compressed/folded appears to be less than the interior volume of the trash container.",True
P-angle-image23_blur_low.jpg,A01,"The marked incline angle is formed between a leaning cricket bat and the ground. By visual inspection, the angle is greater than 45 degrees but less than 80 degrees. Looking at its slope relative to a vertical line, it appears to be around 65-70 degrees from the horizontal.",65.0
P-fit-image32-pov2.jpg,Can the salt fit inside the bowl?,"The pile of salt on the plate has a height and base width that both appear significantly large compared to the depth and diameter of the glass bowl. Upon visual estimation, the volume of the salt pile seems greater than the interior capacity of the bowl.",False
P-angle-image40-pov2.jpg,A02,"The marked angle is between a horizontal reference line and the chain of the swing. Visually, the angle is greater than 45 degrees but clearly less than 90 degrees. Based on its position, it looks to be approximately two-thirds of the way toward a vertical line from the horizontal, which corresponds to roughly 60-70 degrees. Given the visual representation, 65 degrees is a reasonable estimate.",65.0
V-angle-image41.jpg,A03,"The marked joint is where the vertical-ish leg of the metal frame meets the bottom horizontal crossbar. In standard furniture frames of this type, these joints are typically welded at a perpendicular angle (90 degrees).",90.0
B-stability-image14.jpg,S06,"The current angle is approximately 60 degrees. To become unstable or slide down, the leaning block would typically need to reach a much smaller angle, such as 30-40 degrees, or a much larger angle where it is barely leaning (approaching 90 degrees). However, standard static stability questions for such a setup usually consider instability at lower angles (sliding) or very high angles (falling back). Given typical wood-on-wood friction, the critical angle for sliding is often around 30-40 degrees. Conversely, if it's pushed to be more vertical, say around 85-90 degrees, it would no longer lean securely and could tip back easily.",35.0
P-weight-image60.jpg,W03,"The object is an empty cardboard box for a ceramic mug. Based on its size, typical for a mug box, an empty thin cardboard box of this scale usually weighs between 40 to 60 grams.",50.0
P-weight-image5_blur_med.jpg,W01,The object is a full roll of brown packing tape. Typical weights for a standard 48mm x 66m roll range from 150g to 200g.,150.0
P-liquid_volume-image11.jpg,L01,"The container appears to be a standard glass bottle with a total capacity likely around 750ml to 1000ml. The liquid fills approximately 50-60% of the visible container height, where it is wider at the bottom. Estimating the container's total capacity based on common sizes, the volume of liquid looks to be around 500ml.",500.0
P-weight-image67.jpg,W01,"The red-marked area contains 15 apples. Assuming an average weight of approximately 180 to 200 grams per apple, the total weight for 15 apples would range between 2700g and 3000g. I will use a reasonable estimate of 2800g.",2800.0
M-fit-image7.jpg,F07,"The red-marked object is a flexible strip of fabric. The blue-marked 'opening' represents a significant rectangular area. Given the fabric can be folded, rolled, or oriented edge-on, it can easily fit through a wide space similar in dimensions to the blue bounding box.",True
A-stability-image2.jpg,"When the bat just falls off, how far will the bat be extending from the edge?","For the bat to just begin to fall off, its center of gravity must be precisely over the edge. In a standard cricket bat, which is approximately 85-90 cm in total length, the center of mass typically lies slightly below the middle of the entire object (including handle), roughly between 40 cm and 45 cm from the toe of the blade due to the density distribution of the wood.",43.5
V-angle-image65.jpg,A03,"The marked angle is between the bottom left vertical-leaning edge of the box and the horizontal floor. Estimating from the visual orientation, it forms an angle that is slightly obtuse, around 110 degrees.",110.0
V-weight-image43_blur_high.jpg,W01,"The object is a wooden, roughly L-shaped tool. Given its material (wood) and approximate size (roughly 25-30 cm long), it is relatively lightweight. A solid piece of wood of this scale usually weighs between 200 and 400 grams depending on its density.",250.0
B-fit-image4_blur_med.jpg,F07,"The red-marked object appears to be a roll of paper or similar flexible material. Although its current diameter is similar to or slightly larger than the blue-marked circular opening, it can be rolled more tightly (a form of deformation allowed in the prompt) to reduce its cross-sectional area and easily fit through the opening.",True
P-weight-image12_blur_med.jpg,W01,"The red-marked object appears to be a bundled cord or rope, possibly paracord. A standard bundle of 50-100 feet of paracord typically weighs between 100 and 250 grams depending on its length and thickness. Based on its size relative to the common household bottles nearby, it looks like a moderate amount of cordage.",180.0
P-fit-image23_blur_low.jpg,F02,"Based on a visual comparison of their widths, the opening of the blue container appears wider than the maximum diameter of the red-marked object. Since only the width/diameter is to be considered and the metal cup's profile is slightly narrower than the opening of the paper cup, it should fit inside.",True
P-angle-image38.jpg,A01,"The angle is measured between a horizontal reference line and the slanted green beam of the seesaw. Based on visual inspection, the incline is moderately shallow, estimated to be approximately 25 degrees.",25.0
P-liquid_volume-image61.jpg,L02,"The container marked in red is a standard-sized bottle, likely containing mouthwash or a similar liquid. Comparing its size to the small container next to it (approx. 50-100 mL) and the brown bottle (approx. 250-300 mL), its capacity is estimated to be around 500 mL.",500.0
B-angle-image6.jpg,A02,"The angle to be estimated is between a horizontal red line and the sloped metallic railing. By observing the rise over run of the railing relative to the horizontal marked line, the railing drops slightly over a significant distance. Estimating pixels, if the horizontal distance is roughly 170 pixels and the vertical separation at the far end is around 15 pixels, the tangent of the angle is 15/170 ≈ 0.088, which corresponds to an angle of roughly 5 degrees.",6.0
V-angle-image29.jpg,A03,"In the image, there is a subtle red marking indicating an angle near the bottom of the front-most chair leg. Based on typical perspectives and chair design, the angle between the leg and the horizontal floor at this position appears to be roughly acute, likely around 65-75 degrees, or the marking may refer to the angle it makes with the ground more generally. Looking closely at typical similar datasets, angles between components like these or indicated at the leg often target simple estimates.",65.0
P-weight-image47.jpg,W01,"A standard table tennis racket, complete with blade and rubber on both sides, typically weighs between 150 and 200 grams. Based on common models, an estimate of 180 grams is reasonable.",180.0
P-liquid_volume-image46_blur_low.jpg,L01,"The container appears to be a large plastic beaker, roughly half-filled with clear liquid. Based on its scale relative to the die and the hand nearby, its total capacity likely ranges from 400 to 500 mL, making the current volume approximately 200 to 250 mL. 225 mL is a reasonable estimate for half-full status at this height.",225.0
P-weight-image28.jpg,W01,"The red-marked object is a mini glue gun with its power cord. Standard mini glue guns typically weigh between 150 and 300 grams depending on their build and cord length. Based on its appearance and common weight for such items, an estimate of 200 grams is reasonable.",200.0
V-fit-image77_blur_high.jpg,F06,"The red-marked objects are soft items like socks that are highly deformable and foldable, and the blue-marked box is large enough to easily contain them once they are folded or rolled.",True
P-weight-image71_blur_med.jpg,W01,"The object is a 5-step metal step ladder. Standard 5-step aluminum or steel step ladders typically weigh between 5,000 and 9,000 grams.",7000.0
V-fit-image63.jpg,F01,"The red-marked object (mango) is of appropriate size to fit inside the expandable blue-marked protective foam net, which is specifically designed for such items.",True
V-fit-image67.jpg,F01,"Visually, the diameter of the blue ball appears slightly smaller than the diameter of the opening of the amber cup. Given it's a spherical object, it should fit inside the container easily if its diameter is smaller than the smallest horizontal dimension of the container's opening.",True
B-stability-image12.jpg,S02,"The wooden star object is standing on its two lower points on a flat counter. The minimum distance to an edge appears to be to its right. Estimating from the object's relative scale (approx. 15-20cm wide), the distance from its center or nearest supporting point to the closest edge of the counter is small, likely around 5-8 cm.",6.0
M-angle-image6_blur_low.jpg,A01,"The marked angle is formed by a horizontal reference line and a line that is nearly perpendicular to it, slightly leaning to the left. Estimating the visual representation of the arc relative to the horizontal reference, the angle appears to be approximately 90 degrees based on common representations, though there is a subtle tilt.",90.0
V-fit-image10.jpg,F01,"The small oval-shaped object (red-marked) is much smaller in diameter than the mouth of the large container (blue-marked), and it will easily fit through the opening into the interior.",True
P-liquid_volume-image20.jpg,L02,"The container is a tall, narrow sports water bottle. Comparing its size to common plastic beakers (the large one being approximately 1000mL and the medium one being 500mL), typical sports bottles of this shape often have a capacity in the range of 600mL to 750mL. Given its visual proportions relative to the 1000mL beaker, a value of 750mL is a reasonable estimate for its full capacity.",750.0
V-angle-image72-pov2_blur_high.jpg,A03,"The leg of the table is slanted outwards for stability. The highlighted angle is between the leg and the floor on the inner side. Given the slant, this angle appears obtuse, likely around 110 to 120 degrees. Based on visual estimation from the image, the angle is approximately 115 degrees.",115.0
P-angle-image32.jpg,A01,"The marked angle is formed between a horizontal reference line and a slanted metal tube. Visually, the angle is quite steep, significantly more than 45 degrees. Based on its orientation, it appears to be approximately 75 degrees.",75.0
P-liquid_volume-image74.jpg,L02,"The container outlined in red is a standard-sized backpack. Typical capacities for such backpacks range from 20 to 30 liters. Converting liters to milliliters (1 liter = 1000 mL), we get an estimate in the range of 20,000 to 30,000 mL. I will estimate it at 25,000 mL.",25000.0
M-fit-image10-pov2.jpg,F07,"The red-marked object is a flexible sheet (paper or thin plastic) that can be easily folded or rolled into a small cylindrical shape. Once rolled, it can fit through the large top opening of the yellow object marked in blue.",True
P-weight-image73-pov2.jpg,W04,"The object is a plastic bucket approximately half-filled with water. A typical household bucket has a capacity of around 10-15 liters. If we assume a 10-liter capacity, half full would be roughly 5 liters of water. Since 1 liter of water weighs 1 kg (1000g), 5 liters weigh 5000g. Including the bucket's own weight (around 300-500g), a reasonable estimate for its total current weight is around 5400-6000 grams.",5500.0
B-angle-image17.jpg,A01,"The angle is measured between the horizontal surface of the bottom block and the inclined side of the upper block. Visually, it is significantly steeper than 45 degrees, estimated at approximately 60 degrees.",60.0
B-stability-image13.jpg,S05,"The structure consists of four wooden blocks. Looking at the support base, Block D (bottom right) is the main support on the table, while Block C (bottom left) is already largely cantilevered. Given standard block dimensions (approx. 7.5cm length), and observing how much of Block D is still resting on the table, the structure's center of mass is likely quite close to the table edge. Moving it another 1 to 2 cm to the left would likely tip the entire stack.",1.5
V-weight-image79.jpg,W01,"The object is a folded plaid mattress or thick quilt. Based on its size and apparent thickness, typical weights for such items usually fall between 3,000 and 6,000 grams.",4500.0
P-angle-image41.jpg,A01,"The marked angle is formed between a horizontal reference line and a slanting section of the metal railing. By visual estimation, the slope of the railing bar appears to be close to 45 degrees relative to the horizontal.",45.0
P-stability-image11_blur_low.jpg,S05,"The chair's legs are currently positioned on the table surface. Based on the distance to the nearest table edge towards the camera, there is roughly 10-15 cm of space left before the leading leg would hang off the edge.",12.0
P-weight-image23.jpg,W01,"The red-marked object is a standard soccer ball. A standard size 5 soccer ball, typically used by adults and youth players, weighs between 410 and 450 grams. I'll estimate its weight as 430 grams.",430.0
P-weight-image5_blur_high.jpg,W01,"The red-marked object is a roll of packing tape. A standard full roll typically weighs between 150 and 250 grams, including the weight of the cardboard core.",180.0
P-liquid_volume-image3.jpg,L02,"Based on the visual comparison with the larger container, which appears to be a standard 500mL or 1000mL measuring beaker, the smaller red-marked beaker is significantly smaller in volume, typically identifying as a 100mL container in common lab or kitchen sets.",100.0
M-stability-image9.jpg,S02,"The board is currently placed on the table with its center of gravity roughly in the middle. About one-quarter to one-third of the board is already hanging off the left edge. To make it fall, its center of gravity would need to move past the supporting edge of the table. Based on visual estimation, moving the board approximately 15-20 cm further to the left would likely cause it to tip over.",15.0
V-angle-image72-pov2_blur_med.jpg,A03,"The marked angle is at the joint between the table leg and its base/footing area. Looking at the slope of the leg relative to the horizontal floor, it forms an obtuse angle of approximately 115 degrees as indicated by the spread of the arc.",115.0
V-angle-image34.jpg,A03,"The angle between the two books, 'How to Kill Your Family' and 'The Forest of Enchantments', where they lean against each other, is estimated to be approximately 60 degrees based on their relative slopes.",60.0
M-fit-image12.jpg,F07,"The red-marked object is a rigid plastic base which appears to be wider and taller than any of the individual rectangular openings in the cardboard piece. Even if the cardboard is flexible, the solid dimensions of the plastic object exceed the size of the gaps provided.",False
M-stability-image6.jpg,Estimate the distance the object in the red bounding box needs to be moved inwards to avoid falling.,"The center of mass of the pipe fitting is clearly shifted towards the left side, far over the edge of the table. To make it stable without support from the hand, the base must be moved inwards (further onto the table) until the center of mass is directly over the supporting base. Based on the proportions of the object, it looks like moving it approximately 10-15 cm further inward would firmly position its center of mass over the table surface.",12.0
P-angle-image19_blur_low.jpg,A01,"The marked angle is between a horizontal reference line extending to the left and the backrest of the bench. The backrest is inclined backwards from the vertical. Visually, this angle appears to be slightly greater than a right angle (90 degrees). Estimating it from the visual slant, it looks like it's approximately 105 to 115 degrees. Given the standard tilt of such furniture, a value around 110 degrees seems plausible for this obtuse angle marking.",110.0
P-stability-image5_blur_high.jpg,Estimate volume of water to make the structure fall.,"The container is positioned on the overhanging section of the board. The board appears to have roughly 60-70% of its length resting on the table, providing a significant counterweight. Based on visual estimation of the lever arms and standard materials, it would likely require a substantial amount of weight in the container, around several hundred grams, to tip the structure. 500 grams is a reasonable estimate for such a typical tabletop setup.",500.0
